cell,pair,config,channel,arm,rule,binkey,n,m_cnt,gate_n_ok,gate_prod_ok,branch,solve_s,error
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,conveyable|furniture|medium|pallet,206,612,True,True,lap,0.012866199991549365,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,conveyable|clothing|large|pallet,7302,650,False,False,greedy_gate,5.00003807246685e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,non-conveyable|furniture|medium|pallet,729,1000,True,True,lap,0.22288570000091568,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,non-conveyable|electronic|large|pallet,8619,650,False,False,greedy_gate,4.00003045797348e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,conveyable|chemical|large|pallet,30887,1950,False,False,greedy_gate,1.00000761449337e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,non-conveyable|chemical|large|pallet,46514,2600,False,False,greedy_gate,2.00001522898674e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,conveyable|electronic|extra_large|pallet,1695,500,False,True,greedy_gate,1.00000761449337e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,conveyable|seasonal|extra_large|pallet,11248,500,False,False,greedy_gate,2.00001522898674e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,conveyable|chemical|singleton|singleton,489,1239,True,True,lap,0.1070045999949798,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,non-conveyable|clothing|small|pallet,524,1448,True,True,lap,0.16492989999824204,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,non-conveyable|chemical|singleton|singleton,805,1500,True,True,lap,0.36683959999936633,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,conveyable|chemical|small|pallet,397,1191,True,True,lap,0.08052499999757856,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,non-conveyable|electronic|extra_large|pallet,61,183,True,True,lap,0.0006915999983903021,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,non-conveyable|clothing|large|pallet,233,583,True,True,lap,0.013096199996653013,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_map_norsl,map,fulfillment|fulfillment|ff_medium|fulfillment,1558546,74700,False,False,greedy_gate,4.00003045797348e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_map_norsl,map,conveyable|clothing|medium|pallet,459066,25000,False,False,greedy_gate,3.00002284348011e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_map_norsl,map,conveyable|clothing|singleton|singleton,16047,1500,False,False,greedy_gate,5.00003807246685e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_map_norsl,map,conveyable|electronic|medium|pallet,48391,3000,False,False,greedy_gate,4.00003045797348e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_map_norsl,map,conveyable|seasonal|medium|pallet,23648,1000,False,False,greedy_gate,9.00006853044033e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_map_norsl,map,fulfillment|fulfillment|ff_large|fulfillment,679203,49800,False,False,greedy_gate,7.999915396794677e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_map_norsl,map,fulfillment|fulfillment|ff_small|fulfillment,216173,124200,False,False,greedy_gate,7.00005330145359e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_map_norsl,map,non-conveyable|chemical|medium|pallet,278040,15000,False,False,greedy_gate,7.00005330145359e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_map_norsl,map,non-conveyable|furniture|large|pallet,26467,1300,False,False,greedy_gate,4.00003045797348e-07,
