cell,pair,pickcfg,channel,arm,ref_task_ms,cell_task_ms,d_task_ms_pct,ref_batch_ms,cell_batch_ms,d_batch_ms_pct,ref_thr_batch,cell_thr_batch,d_thr_batch_pct,ref_thr_task,cell_thr_task,d_thr_task_pct
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,uni_rank_popularity_norsl,6250288.730957405,6251431.748781499,-0.018287440361489632,406699.228165837,277587.69983983034,31.746194579292325,0.08730392273700344,0.1276277235227986,46.187845312824734,0.005662775046289767,0.005661495975126868,-0.022587356065596587
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,uni_rank_random_norsl,6258611.01133381,6259214.650094583,-0.009644931753697353,406749.35631041584,279603.51335293165,31.25901516128061,0.08727665611737465,0.1265323923534919,44.978506260968445,0.005651293204833914,0.005650817246808006,-0.008422108155712047
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,uni_tmax_norsl,6339316.066172279,6340418.010320625,-0.017382697704978314,408482.12721064396,283215.1489412626,30.666452685403367,0.08692326195300018,0.12507411458617446,43.8902680088129,0.005583016301415184,0.005582026437158156,-0.017729918803512417
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,uni_tmin_norsl,6256243.188525146,6255001.129884598,0.019853106778619845,404906.373245955,279490.30594755977,30.97409069978083,0.0877556160961796,0.12661257097217185,44.278596179423175,0.005653744591626673,0.005654172500492917,0.007568592095193919
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,opt_cluster_map_norsl,857238.83096438,857338.7818031587,-0.011659625668882375,53822.15834189211,44345.50760563961,17.607340597629683,1.2470968046782156,1.5192633384894945,21.824010196345995,0.07857848297678934,0.07857972139942258,0.0015760327590114945
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,opt_cluster_map_rank_norsl,857027.2516820041,856914.4560047681,0.013161270778094742,53728.424564958106,44386.85047691027,17.386651783831468,1.2473820635768282,1.516450779867182,21.57067382537214,0.07852237009295478,0.07853018394673951,0.009951118102373528
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,opt_cmax_norsl,857424.5539393144,857378.2463758957,0.005400774121291703,50533.389131433796,43554.276912591056,13.810892835013616,1.3080301048552285,1.522589925216198,16.403278453955526,0.07732744645850795,0.07733683468563289,0.012140873072771664
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,opt_cmin_norsl,856416.8713687977,856373.4620884514,0.00506870915293587,45737.449497539346,43656.67365899239,4.549391934630945,1.4467604986148281,1.5169583527965138,4.852071524547097,0.0773356047543316,0.07734365194947447,0.010405550158215444
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,opt_comp_norsl,856905.4950976138,856740.9920213199,0.019197341741298522,52774.05008613791,44477.154618666995,15.721543929125598,1.2691374422812691,1.51539781404383,19.403759085376045,0.07869187055101273,0.07870639127352354,0.01845263355557417
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,opt_expn_norsl,859349.9508180118,859462.3929262279,-0.01308455398281925,47784.455501454824,44539.89697634546,6.7899874364176505,1.4096344281906645,1.5152809266055771,7.494602593561445,0.0785625987927468,0.07854547132526822,-0.021801044952393663
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,opt_fifo_norsl,857726.3931455758,857600.3475335989,0.014695316943043619,45937.7937857774,43757.23973959851,4.746753961122972,1.4417901164185383,1.5153271403524249,5.1003972836598015,0.07731769927390189,0.07733092831350619,0.017109975760441355
